Federal organization,Year,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (t),Total annual energy usage,Total  emissions
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",59955.49569,4271.967786,28759449.48,1797859.78
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,1,liquified petroleum gas,1769.303143,107.9541955,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,1,natural gas,446241.3017,22229.48008,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,2,district energy,154568,11230.51839,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,facilities,2,electricity,524494.1065,54100.25373,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",41332.3642,2915.521965,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,fuels with renewable content,14431.98297,591.2746769,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,gasoline,73844.05779,4540.532151,,
Agriculture and Agri-Food Canada,2005,FY 2005-06,fleet,1,liquified petroleum gas,68.28638,4.15583732,,
Canada Border Services Agency,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",12691.47159,906.1651174,,
Canada Border Services Agency,2005,FY 2005-06,facilities,1,liquified petroleum gas,2338.66931,142.6941251,,
Canada Border Services Agency,2005,FY 2005-06,facilities,1,natural gas,51557.72212,2576.916065,,
Canada Border Services Agency,2005,FY 2005-06,facilities,2,electricity,108359.9489,5045.51582,,
Canada Border Services Agency,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",5738.1443,410.2928988,,
Canada Border Services Agency,2005,FY 2005-06,fleet,1,fuels with renewable content,865.86792,53.3444706,,
Canada Border Services Agency,2005,FY 2005-06,fleet,1,gasoline,65059.25526,3939.519854,,
Canada Revenue Agency,2005,FY 2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",925.9025,66.20454295,,
Canada Revenue Agency,2005,FY 2005-06,fleet,1,gasoline,5469.99394,331.2234308,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",30850.94883,2207.650349,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,1,liquified petroleum gas,486.3823872,29.67665246,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,1,natural gas,188363.7204,9406.668423,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,2,district energy,10285.4375,917.807785,,
Canadian Food Inspection Agency,2005,FY 2005-06,facilities,2,electricity,117251.5376,14235.03274,,
